id,pred
36,0.9000002
2157,1.1155952
9385,1.4091241
14434,1.9592097
9462,0.4384145
5773,2.1308866
11975,2.0113258
10047,1.6842618
9595,0.88781655
12085,0.9283007
10423,0.8168827
5353,0.5348332
1967,0.7182557
7192,0.9040454
13483,0.6492543
8158,1.3645691
1482,0.9820764
5833,1.1980077
5276,0.9977262
12541,1.2834454
14694,0.656113
11505,1.3083305
3948,0.38465625
12175,0.7007829
108,2.5846841
2520,1.0910854
11334,0.79439837
9535,1.6586611
9788,0.81739426
3217,1.3990633
9102,1.451509
8059,0.8514555
2340,1.3053138
5727,1.1755214
13074,1.7884014
13058,0.8506314
12524,0.59042937
13919,0.8269117
1135,0.23140371
2266,1.307661
13837,0.9864695
312,1.2467632
5129,1.1061578
333,0.5624695
9710,1.2595972
4895,0.5760677
12948,0.8664054
9748,0.927019
10713,1.0650852
11130,0.61676145
7685,1.7255881
14382,1.6848409
1622,1.9076204
9747,0.70260555
6176,2.0318
8001,1.5623481
3843,0.95044106
5369,0.6050251
4013,0.89389896
7189,0.55280125
6627,1.0277369
1531,1.8860435
7872,1.0800408
7822,1.0080566
7939,1.2848127
11694,1.0364902
12404,0.7959602
11477,1.0019467
10036,1.2944542
8673,1.3808823
13663,0.6964432
158,0.9082889
12270,1.7390201
4775,1.258633
10732,1.2446859
12761,1.0966443
11443,0.6832953
14024,0.7042506
1456,0.8268537
15040,0.9086622
1777,1.7278097
5176,0.54738027
10217,0.8695152
14211,1.9522288
11805,2.4841626
1332,0.86370087
2539,1.1357337
12008,1.0531926
219,0.9879385
3415,1.2076709
9014,1.1034832
2606,0.23408341
3913,1.0515652
1811,1.2097299
500,0.8561379
14528,0.8754493
3045,0.7814955
4740,0.8089594
13532,2.0012474
5973,2.2049987
1524,0.5461555
6710,0.52711964
10824,1.0973444
2242,0.8914573
13571,1.1326072
14078,0.90454704
14089,1.0638809
4511,0.8870276
14168,0.9056415
9406,1.3150276
513,0.8279631
3346,1.0054743
8857,0.8620732
2470,1.0042379
3497,0.89678264
13452,0.622611
5450,1.0968065
5340,1.0438277
10909,1.3330545
12419,1.1647274
1393,1.157325
14390,1.3905795
2721,0.82148266
2093,0.5769782
8024,1.5479366
8759,0.9885776
6275,0.9400078
6465,0.81749475
4041,1.3980824
10700,1.7258568
11312,1.3560269
5533,1.015797
4905,0.86167634
3094,1.6577148
8732,0.64079386
13789,1.5874532
4064,1.1670891
7358,1.3720533
8580,1.5064741
926,0.9647074
13516,1.0005869
11615,1.2540063
1630,0.6619624
6996,0.36941126
3308,0.85545087
6713,0.82162344
9983,0.15403527
11869,1.2204038
8366,1.1508366
13751,1.8819065
1832,1.1516829
14756,0.5687071
10385,1.2327582
12411,1.0843245
8478,0.46401164
6267,0.6715325
11803,0.74923676
3744,1.1132982
10541,0.76951325
5642,1.7677529
12459,1.909147
2660,0.34966302
8975,1.4370255
193,0.93316114
11779,1.2024457
5337,0.7045036
12817,0.6912068
6310,1.0799627
10836,1.205175
9078,2.0595405
6272,0.7460575
14614,1.4192245
11290,1.2343447
9887,1.063047
8737,0.8931636
12187,1.0651369
11445,1.1595726
4131,1.8111644
4753,0.4563972
4485,1.448226
7134,3.0134356
7865,0.76889426
10276,1.2817345
8160,0.9915364
466,1.851685
10688,1.3508615
14681,1.1127661
14860,1.1636701
392,1.4627345
7028,1.3102388
13586,0.92262125
10890,0.85375905
3362,0.69825184
14593,0.9490053
3981,0.85268867
2860,1.2943177
11826,1.3866811
5633,1.6684642
5202,1.2596269
7501,0.75529236
3597,1.2250009
12210,1.7044044
2685,0.6547661
881,1.5536484
11122,0.940412
490,0.6261112
2929,0.4736568
14696,1.777061
11871,0.4877398
14934,1.9975531
10955,1.1912105
14962,1.9684339
10083,0.8237386
5673,1.1829538
83,1.6258695
7556,0.9951232
13273,1.6550872
10149,1.8352118
11095,0.5750948
1580,2.2803988
5083,0.87401384
6351,0.8228529
3331,0.32718503
12975,1.7568533
6704,1.8673635
1113,1.3200388
8619,1.7445831
11920,1.6885235
10263,0.6840476
13812,0.8967809
6065,0.9532666
11247,0.9575678
8377,1.0039158
2074,1.169731
14723,1.0703549
7992,1.1985841
8808,1.51259
2962,1.9857924
1657,1.0349973
13560,0.47767934
3021,1.4823146
9941,1.6035035
10034,1.455957
9457,1.3472455
14097,2.4187489
13754,2.0715175
13772,1.3565328
4262,1.7868164
5189,1.9263344
5570,0.34510553
3436,1.4050651
928,1.3782961
1405,0.79900336
13207,0.3220025
15083,1.0762434
13003,1.2568855
4221,0.8055492
1499,1.6142142
8596,1.2248995
13164,0.95064247
1339,1.7603624
3959,1.0902599
2681,0.375203
13815,1.2251807
5676,0.97834486
3574,1.1616879
6393,0.58920574
10186,0.61996406
14989,1.2284961
3782,0.6247
6459,0.07609367
9152,1.0001361
11400,1.9011061
2131,0.61472297
14297,0.2803732
406,2.4600394
10708,1.6215479
13573,1.3964074
4878,1.8970118
6334,1.0742729
3429,0.69509315
260,0.7960422
13596,1.272785
5822,0.49552447
3945,1.2698375
939,1.1461552
10703,0.7251964
7089,0.5736175
3477,0.83387256
10673,1.6432037
11878,0.527975
12956,1.1984874
6104,0.7690652
11058,1.1981014
2223,0.79979867
3330,0.93420714
13253,1.7197447
669,0.730335
6371,0.4088825
14171,0.61091954
14413,0.8713737
13262,2.0723495
2615,1.6126444
995,1.5554593
10850,1.9051309
2851,0.4534184
1629,1.565754
7835,1.6346879
2145,1.1058662
986,1.0841547
7306,0.73394513
11757,1.0173604
9695,1.5205274
5442,1.7378731
2944,0.3981536
2100,0.70454454
13248,1.0912833
12555,1.1135085
10544,1.221827
1577,1.2592833
12799,1.8176625
11618,1.6762526
14678,1.3033282
3607,1.8840511
14227,1.4793155
14038,1.3520105
6453,0.5992496
9587,0.9078753
6649,1.4959819
5279,0.61656046
2998,1.2126232
13283,0.38670766
13485,1.6564734
9960,0.49307173
4168,0.24544054
10669,0.83823293
5304,1.0991946
2115,1.351089
2534,0.5459813
6361,0.7503012
9021,1.3023753
1002,1.4303038
12908,1.4131694
1009,0.5548608
3049,1.3657637
1081,0.6834697
6842,1.4091189
7592,0.9680246
4436,0.6822795
9583,0.76087296
4901,1.2413441
13597,1.4981081
12886,0.61976403
2940,1.1215498
1262,0.76871175
13643,0.9555781
7221,2.2676802
2768,0.70735365
416,0.94514674
9092,1.1592848
10993,0.85835665
3779,1.3859891
9031,1.1056014
5602,1.1960837
8210,1.562277
12432,1.3598018
8045,0.8245043
652,1.2328149
7640,1.863786
3469,0.90783846
4263,1.4292734
2060,0.75411206
10832,0.82468987
4099,1.1089334
2118,0.6970086
3620,1.4623901
6287,1.1765494
5953,1.2927816
1879,0.46740013
118,1.0383246
10449,0.6111002
6664,0.702477
12362,0.9735144
8831,0.8857725
11933,0.47678638
14306,1.4368908
1653,0.64900213
6410,0.63726455
13620,1.0728508
9262,1.4661064
7256,0.7460822
11376,1.2104107
12251,1.2567132
14294,0.89836067
2346,0.8060648
6375,0.36201358
15042,1.6678439
9290,0.6226376
11836,0.8061907
9395,2.1622274
1694,1.5173135
13773,1.075787
1536,1.4237795
11644,0.99523056
12589,1.1892229
8241,1.2168576
4487,1.1181765
13077,1.4178741
3540,1.6587157
417,1.0643446
8370,0.24598503
6009,1.1143647
12075,2.1204698
2293,0.9771191
14000,1.2813752
12414,1.802947
7895,1.6252713
13933,2.168489
8150,0.76925623
1304,1.249616
9083,1.1822356
512,1.0237627
11704,0.6355408
2654,1.8966093
11397,0.9093505
12331,0.5139719
781,1.950057
6279,0.21852833
10265,0.59760225
14256,0.72299266
12685,0.7326237
4188,1.5498414
5834,0.8370678
10452,1.6338508
9558,0.6337128
7797,1.147856
7456,1.2350471
3525,1.5682464
10770,0.9239247
1710,0.2962647
10237,1.4495671
8931,1.6660209
6834,0.48891604
4106,1.8681123
1621,2.2665904
7976,0.99439144
4182,1.3879399
3468,1.8993101
